domain;name;ticker;involvement.Alcoholic Beverages;involvement.Adult Entertainment;involvement.Gambling;involvement.Tobacco Products;involvement.Animal Testing;involvement.Fur and Specialty Leather;involvement.Controversial Weapons;involvement.Small Arms;involvement.Catholic Values;involvement.GMO;involvement.Military Contracting;involvement.Pesticides;involvement.Thermal Coal;involvement.Palm Oil;employees;industry;sector;altman_score;piotroski_score;Controversies.Environment;Controversies.Social;Controversies.Customers;Controversies.Human Rights & Community;Controversies.Labor Rights & Supply Chain;Controversies.Governance;Decarbonization Target.Target Year;Decarbonization Target.Comprehensiveness;Decarbonization Target.Ambition p.a.;Decarbonization Target.Decarbonization Target;Decarbonization Target.Decarbonization Target on Temperature Rise;Temperature Goal;sdg.No Poverty;sdg.No Hunger;sdg.Good Health and Well-Being;sdg.Quality Education;sdg.Gender Equality;sdg.Clean Water and Sanitation;sdg.Affordable and Clean Energy;sdg.Decent Work and Economic Growth;sdg.Industry, Innovation and Infrastructure;sdg.Reduced Inequalities;sdg.Sustainable Cities and Communities;sdg.Responsible Consumption and Production;sdg.Climate Action;sdg.Life under Water;sdg.Life on Land;sdg.Peace, Justice and Strong Institutions;sdg.Partnerships for the Goals;esg;involvement_msci.Controversial Weapons;involvement_msci.Gambling;involvement_msci.Tobacco Products;involvement_msci.Alcoholic Beverages;Controversies.Supply Chain Labor Standards;Controversies;Decarbonization Target;sdg;Controversies.Collective Bargaining & Union;Controversies.Health & Safety;Controversies.Discrimination & Workforce Diversity;Controversies.Labor Management Relations;involvement;involvement_msci;Controversies.Anticompetitive Practices;Controversies.Privacy & Data Security;Controversies.Bribery & Fraud;Controversies.Governance Structures;Controversies.Customer Relations;Controversies.Product Safety & Quality;Controversies.Human Rights Concerns;Controversies.Energy & Climate Change;Controversies.Toxic Emissions & Waste;Controversies.Impact on Local Communities;Controversies.Biodiversity & Land Use;Controversies.Other;Controversies.Marketing & Advertising;Controversies.Civil Liberties;Controversies.Operational Waste (Non-Hazardous);Controversies.Supply Chain Management;Controversies.Water Stress;Controversies.Child Labor;Controversies.Controversial Investments
f5.com;F5 Networks;FFIV;No;No;No;No;No;No;No;No;No;No;No;No;No;No;6459;Software - Infrastructure  ;Technology  ;4.08;9;Green;Green;Green;Green;Green;Green;2030;1.92%;0.91%;Yes;Yes;1.7;No;No;No;No;Aligned;No;No;Aligned;No;No;No;Aligned;No;No;No;No;No;17.2;No;No;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dell.com;Dell;DELL;No;No;No;No;No;No;No;No;No;No;No;No;No;No;120000;Computer Hardware  ;Technology  ;1.63;7;Green;Yellow;Green;Green;Yellow;Green;2050;60.56%;-1.71%;Yes;Yes;2.9;No;No;No;No;Aligned;No;Aligned;Aligned;Aligned;Aligned;No;Aligned;Aligned;No;No;No;No;14.4;;;;;Yellow;;;;;;;;;;;;;;;;;;;;;;;;;;;;
att.com;AT&T;T;No;No;No;No;No;No;No;No;No;No;No;No;No;No;148290;Telecom Services  ;Communication Services  ;0.7;8;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;;;;;;;;;;;;;;;;;;;;;
verizon.com;Verizon;VZ;No;No;No;No;No;No;No;No;No;No;No;No;No;No;104400;Telecom Services  ;Communication Services  ;1.15;6;Green;Yellow;Green;Green;Yellow;Green;2035;100.0%;-3.71%;Yes;Yes;1.5;No;No;No;No;Aligned;No;No;No;No;Aligned;No;No;Aligned;No;No;No;No;null;;;;;;;;;Yellow;Yellow;;;;;;;;;;;;;;;;;;;;;;;
hp.com;Hewlett Packard;HPQ;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;58000;Computer Hardware  ;Technology  ;1.91;7;Green;Yellow;Green;Green;Yellow;Green;2040;100.0%;-5.56%;Yes;Yes;2;No;No;No;No;Aligned;No;No;Aligned;No;Aligned;No;No;Aligned;No;No;No;No;12.3;;;;;Yellow;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ibm.com;IBM;IBM;No;No;No;No;No;No;No;No;No;No;No;No;No;No;282200;Information Technology Services  ;Technology  ;3.08;5;Green;Orange;Green;Green;Orange;Green;2030;100.0%;-12.5%;Yes;Yes;1.6;No;No;No;No;No;No;No;No;No;No;No;Aligned;Aligned;No;No;No;No;14.1;;;;;;;;;;;Orange;Yellow;;;;;;;;;;;;;;;;;;;;;
juniper.net;Juniper Networks;JNPR;No;No;No;No;No;No;No;No;No;No;No;No;No;No;11144;Communication Equipment  ;Technology  ;1.85;5;Green;Green;Green;Green;Green;Green;2030;36.58%;-1.63%;Yes;Yes;2.3;No;No;No;No;No;No;No;Aligned;No;Aligned;No;Aligned;No;No;No;No;No;14.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
radware.com;Radware;RDWR;;;;;;;;;;;;;;;1147;Software - Infrastructure  ;Technology  ;2.71;4;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;12.9;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
rsa.com;RSA;SARJ;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
paloaltonetworks.com;Palo Alto Networks;PANW;No;No;No;No;No;No;No;No;No;No;No;No;No;No;14789;Software - Infrastructure  ;Technology  ;4.54;6;Green;Green;Green;Green;Green;Green;2040;100.0%;-5.56%;Yes;Yes;1.4;No;No;No;No;Aligned;No;No;No;No;Aligned;No;No;Aligned;No;No;Aligned;No;14.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
